# freq,psd
1.228812041845209480e-01,2.236220184172959397e-02
1.241537185006411498e-01,2.236220184172959397e-02
1.254394105252276681e-01,2.236220184172959397e-02
1.836462661940201913e-01,2.236220184172959397e-02
4.208826990208893587e-02,2.170548924199546675e-02
4.252412114839275448e-02,2.170548924199546675e-02
4.296448591614441398e-02,2.170548924199546675e-02
4.340941094577662612e-02,2.170548924199546675e-02
4.385894346174950414e-02,2.170548924199546675e-02
4.431313117756303932e-02,2.170548924199546675e-02
4.477202230082130002e-02,2.170548924199546675e-02
4.523566553834929005e-02,2.170548924199546675e-02
4.570411010136264662e-02,2.170548924199546675e-02
4.617740571069103850e-02,2.170548924199546675e-02
4.665560260205536824e-02,2.170548924199546675e-02
1.191413837444618984e-01,2.170548924199546675e-02
1.203751698020068678e-01,2.170548924199546675e-02
1.216217325118614800e-01,2.170548924199546675e-02
1.228812041845209480e-01,2.170548924199546675e-02
1.241537185006411498e-01,2.170548924199546675e-02
4.296448591614441398e-02,2.106806237457437697e-02
4.340941094577662612e-02,2.106806237457437697e-02
4.385894346174950414e-02,2.106806237457437697e-02
4.431313117756303932e-02,2.106806237457437697e-02
4.477202230082130002e-02,2.106806237457437697e-02
4.523566553834929005e-02,2.106806237457437697e-02
4.570411010136264662e-02,2.106806237457437697e-02
4.617740571069103850e-02,2.106806237457437697e-02
4.665560260205536824e-02,2.106806237457437697e-02
4.713875153140001384e-02,2.106806237457437697e-02
4.762690378027988752e-02,2.106806237457437697e-02
4.812011116130359561e-02,2.106806237457437697e-02
1.167116191110067897e-01,2.106806237457437697e-02
1.179202433848485915e-01,2.106806237457437697e-02
1.191413837444618984e-01,2.106806237457437697e-02
1.203751698020068678e-01,2.106806237457437697e-02
1.216217325118614800e-01,2.106806237457437697e-02
4.523566553834929005e-02,2.044935487379736724e-02
4.570411010136264662e-02,2.044935487379736724e-02
4.617740571069103850e-02,2.044935487379736724e-02
4.665560260205536824e-02,2.044935487379736724e-02
4.713875153140001384e-02,2.044935487379736724e-02
4.762690378027988752e-02,2.044935487379736724e-02
5.171857287611818232e-02,2.044935487379736724e-02
5.225415213602956077e-02,2.044935487379736724e-02
1.131595665278607027e-01,2.044935487379736724e-02
1.143314070006837824e-01,2.044935487379736724e-02
1.155153826392368577e-01,2.044935487379736724e-02
1.167116191110067897e-01,2.044935487379736724e-02
1.179202433848485915e-01,2.044935487379736724e-02
1.191413837444618984e-01,2.044935487379736724e-02
1.203751698020068678e-01,2.044935487379736724e-02
1.973794858815768605e-01,2.044935487379736724e-02
4.762690378027988752e-02,1.984881700650216116e-02
5.171857287611818232e-02,1.984881700650216116e-02
5.225415213602956077e-02,1.984881700650216116e-02
5.279527766544716422e-02,1.984881700650216116e-02
1.097156186702726716e-01,1.984881700650216116e-02
1.108517948364035055e-01,1.984881700650216116e-02
1.119997368413103156e-01,1.984881700650216116e-02
1.131595665278607027e-01,1.984881700650216116e-02
1.143314070006837824e-01,1.984881700650216116e-02
1.155153826392368577e-01,1.984881700650216116e-02
1.167116191110067897e-01,1.984881700650216116e-02
1.179202433848485915e-01,1.984881700650216116e-02
1.953564436036167307e-01,1.984881700650216116e-02
1.973794858815768605e-01,1.984881700650216116e-02
1.994234780702894005e-01,1.984881700650216116e-02
5.171857287611818232e-02,1.926591518358493696e-02
5.225415213602956077e-02,1.926591518358493696e-02
5.279527766544716422e-02,1.926591518358493696e-02
5.733096629695032947e-02,1.926591518358493696e-02
5.792466551933364571e-02,1.926591518358493696e-02
5.852451288101105653e-02,1.926591518358493696e-02
1.097156186702726716e-01,1.926591518358493696e-02
1.108517948364035055e-01,1.926591518358493696e-02
1.119997368413103156e-01,1.926591518358493696e-02
1.131595665278607027e-01,1.926591518358493696e-02
1.143314070006837824e-01,1.926591518358493696e-02
1.155153826392368577e-01,1.926591518358493696e-02
1.953564436036167307e-01,1.926591518358493696e-02
1.973794858815768605e-01,1.926591518358493696e-02
1.994234780702894005e-01,1.926591518358493696e-02
2.014886371196250581e-01,1.926591518358493696e-02
5.733096629695032947e-02,1.870013148589648455e-02
5.792466551933364571e-02,1.870013148589648455e-02
5.852451288101105653e-02,1.870013148589648455e-02
5.913057204993992649e-02,1.870013148589648455e-02
5.974290735340045261e-02,1.870013148589648455e-02
6.036158378482350123e-02,1.870013148589648455e-02
6.098666701068885393e-02,1.870013148589648455e-02
6.161822337749511824e-02,1.870013148589648455e-02
6.225631991880191396e-02,1.870013148589648455e-02
1.108517948364035055e-01,1.870013148589648455e-02
1.119997368413103156e-01,1.870013148589648455e-02
1.973794858815768605e-01,1.870013148589648455e-02
1.994234780702894005e-01,1.870013148589648455e-02
2.014886371196250581e-01,1.870013148589648455e-02
2.035751822261107347e-01,1.870013148589648455e-02
5.733096629695032947e-02,1.815096320406135721e-02
5.792466551933364571e-02,1.815096320406135721e-02
5.852451288101105653e-02,1.815096320406135721e-02
5.913057204993992649e-02,1.815096320406135721e-02
5.974290735340045261e-02,1.815096320406135721e-02
6.036158378482350123e-02,1.815096320406135721e-02
6.098666701068885393e-02,1.815096320406135721e-02
6.161822337749511824e-02,1.815096320406135721e-02
6.225631991880191396e-02,1.815096320406135721e-02
6.290102436234459859e-02,1.815096320406135721e-02
6.355240513722301698e-02,1.815096320406135721e-02
6.421053138116469827e-02,1.815096320406135721e-02
6.487547294786291663e-02,1.815096320406135721e-02
6.554730041439113530e-02,1.815096320406135721e-02
6.622608508869409771e-02,1.815096320406135721e-02
1.000000000000000056e-01,1.815096320406135721e-02
